"title","source","source_type","deadline","posted","award_ceiling","estimated_funding","indirect_rate","eligibility","fit","number","url","matched_terms","description"
"OSERS-OSEP: National Assessment Center, Assistance Listing Number (ALN) 84.326G","Holly Clark Management and Program Analyst","","2026-07-20","2026-05-20","1000000","1000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","68","ED-GRANTS-052026-001","https://www.grants.gov/search-results-detail/362496","learning; assessment","Program Description: The purpose of this grant competition is to establish a National Assessment Center to improve children with disabilities’ participation in and performance on State and districtwide assessments. This award is funded under the Technical Assistance and Dissemination to Improve Services and Results for Children with Disabilities program. The goal of this program is to promote academic achievement and to improve results for children with disabilities by providing technical assistance (TA), supporting model demonstration projects, disseminating useful information, and implementing activities supported by scientifically based research. This award aligns to requirements in the Individuals with Disabilities Education Act (IDEA). Specifically, section 612(a)(16) requires that all children with disabilities are included with appropriate accommodations in general State and districtwide assessments as indicated in their individualized education programs, including assessments described under section 1111 of the Elementary and Secondary Education Act (ESEA) and alternate assessments. Many States have also adopted kindergarten entry assessments to assess multiple developmental domains and support early learning. Additionally, Section 663(b)(2) of IDEA requires that the Secretary use funds to support activities to improve the participation of children with disabilities in State assessments. ALN: 84.326G. Applicants are required to follow the 2025 Common Instructions and Information for Applicants to Department of Education Discretionary Grant Programs , published in the Federal Register on August 29, 2025 (90 FR 42234) and available at ED 2025 Common Instructions . Note: For new potential grantees unfamiliar with grantmaking at ED, please consult our “ Getting Started with Discretionary Grant Applications ” webpage ."
"EPSCoR Research Infrastructure Improvement Program: EPSCoR Collaborations for Optimizing Research Ecosystems","U.S. National Science Foundation","","2026-07-21","2024-12-14","","37500000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","100","25-523","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf25523","infrastructure; evidence; workforce; stem; k-12; higher education; career; workforce development","The Established Program to Stimulate Competitive Research (EPSCoR) supports the U.S. National Science Foundation (NSF) mission by promoting nationwide scientific progress. Through this program, NSF fosters partnerships among academic institutions, government entities, industry, and non-profits. These collaborations aim to drive long-term improvements in research infrastructure, enhance R&D capacity, and boost the research competitiveness of eligible EPSCoR jurisdictions, including states, territories, and commonwealths. A jurisdiction's research ecosystem is the interconnected network of organizations, researchers, trainees, community stakeholders, and resources that contribute to the process of research and innovation that advances fundamental knowledge, generates use-inspired products, and ultimately cultivates beneficial impacts for a jurisdiction. E-CORE supports jurisdictions in building significant and sustainable research capacity and research infrastructure for targeted areas of focus, hereinafter referred to as ""cores,"" that underlie a jurisdiction's research ecosystem. Based on the evidence-based and self-identified needs of a jurisdiction, the types of cores supported by E-CORE may include (but are not limited to) development, enhancement, and/or ensuring the sustainability of: research administration; research facilities and infrastructure (including cyberinfrastructure); STEM education (K-12) pathways; higher education pathways; early career investigator pathways; broadening participation; workforce development; national and global partnerships; community engagement and outreach; technology transfer; economic development; and use-inspired research pathways. E-CORE projects must be designed to support the sustainability of the research infrastructure cores beyond the award period. Projects will also support the development and growth of new jurisdiction-wide connections, and the leveraging of existing jurisdiction-wide connections, to drive substantive and sustainable impacts."
"CyberAICorps Scholarship for Service","U.S. National Science Foundation","","2026-07-21","2026-02-04","2500000","2500000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","92","26-503","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf26503","ai; artificial intelligence; workforce; stem; higher education; workforce development; science; pathways","Government and the nation face a talent shortfall in artificial intelligence (AI) and cybersecurity. The CyberAICorps Scholarship for Service (CyberAI SFS) program welcomes proposals that address AI and cybersecurity education and workforce development. CyberAI refers to using AI in cybersecurity as well as providing security and resilience for AI systems. The Scholarship Track provides funding to establish, or to continue, scholarship for service programs with integrated AI and cybersecurity components (CyberAI). Scholarship recipients must be U.S. citizens or lawful permanent residents and work after graduation in the AI or cybersecurity mission of a government organization for a period of at least the length of the scholarship. The Innovation Tracksupports projects that enhance preparation of AI and/or cybersecurity professionals. Projects may expand existing educational opportunities, curricula, degree programs, educational pathways, methods and interventions, and partnerships among institutions of higher education, government, and employers. Two statutesauthorize this program: 15 USC &sect;7442 (cybersecurity) and 42 USC &sect;18993 (AI). CyberAI SFS aligns with the Executive Order 14277 to prioritize AI within scholarship for service programs. CyberAI is managed by NSF's Directorate for STEM Education in collaboration with the U.S. Office of Personnel Management (OPM) and U.S. Department of Homeland Security (DHS)."
"Faculty Early Career Development Program","U.S. National Science Foundation","","2026-07-22","2022-04-19","","250000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","76","22-586","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf22586","career; science; technology; engineering","CAREER:The Faculty Early Career Development (CAREER) Program is a Foundation-wide activity that offers the National Science Foundation's most prestigious awards in support of early-career faculty who have the potential to serve as academic role models in research and education and to lead advances in the mission of their department or organization. Activities pursued by early-career faculty should build a firm foundation for a lifetime of leadership in integrating education and research. NSF encourages submission of CAREER proposals from early-career faculty at all CAREER-eligible organizations . PECASE:Each year NSF selects nominees for the Presidential Early Career Awards for Scientists and Engineers (PECASE) from among the most meritorious recent CAREER awardees.Selection for this award is based on twoimportant criteria:The criteria are 1) performance of innovative research at the frontiers of science, engineering, and technology that is relevant to the mission of the sponsoring organization or agency; and 2) community service demonstrated through scientific leadership, education or community outreach.These awards foster innovative developments in science and technology, increase awareness of careers in science and engineering, give recognition to the scientific missions of the participating agencies, enhance connections between fundamental research and national goals, and highlight the importance of science and technology for the Nation's future. Individuals cannot apply for PECASE. These awards are initiated by the participating federal agencies. At NSF, up to twenty-six nominees for this award are selected each year from among the PECASE-eligible CAREER awardees most likely to become the leaders of academic research and education in the twenty-first century. The White House Office of Science and Technology Policy makes the final selection and announcement of the awardees."
"Integrated Data Systems & Services","U.S. National Science Foundation","","2026-07-28","2026-04-15","30000000","60000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","94","26-509","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf26509","artificial intelligence; data; open; science; engineering","The Integrated Data Systems and Services (IDSS) program supports operations-level national-scale cyberinfrastructure systems and services that broadly advance and facilitate open, data-intensive and artificial intelligence-driven science and engineering research, innovation, and education. Through this solicitation, the IDSS program is accepting proposals for three categories of projects: Category I . Development, deployment, and operation of novel national-scale integrated data systems and services, which may include interfacing with or leveraging other existing capabilities, systems and services, as appropriate to the project; Category II. Transition of established smaller scale, regional, pilot, or prototype data-focused systems and services to national-scale production/operational quality/level. This may also include enhancement and expansion of existing national-scale data-focused operational systems and services; and Category III. Planning grants for future potential development/deployment or transition/enhancement IDSS projects. NSF and the Office of Advanced Cyberinfrastructure (OAC) have long supported the development of innovative foundational and application-specific cyberinfrastructure resources and systems to address data-intensive research needs at the campus, regional, and community scales, through programs such as Cyberinfrastructure for Sustained Scientific Innovation (CSSI) , Campus Cyberinfrastructure (CC*) , and other investments. The primary goal of the IDSS program is to support national-scale foundational data cyberinfrastructure that broadly enables data- and artificial intelligence-driven research for many communities. The IDSS program supports foundational transdisciplinary and demonstrably multi-disciplinary projects aimed to broadly impact the science and engineering research and education community. Projects that aim to primarily benefit a single science discipline, domain, project, or application are not supported. It is recommended that prospective PIs contact program officer(s) from the list of Cognizant Program Officers to gain insight about alignment of their project ideas with the priorities of the IDSS program and Office of Advanced Cyberinfrastructure. As part of contacting Cognizant Program Officers, prospective PIs are also encouraged to ascertain that the focus and budget of their proposed work are appropriate for this solicitation."
"OSERS-OSEP: National Technical Assistance Center for Postsecondary Education and Training for Individuals who are Deaf or Hard of Hearing, Assistance Listing Number 84.326D","Holly Clark Management and Program Analyst","","2026-07-30","2026-06-01","4000000","4000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","72","ED-GRANTS-060126-001","https://www.grants.gov/search-results-detail/362632","postsecondary; adult education; technology","Program Description- The Individuals with Disabilities Education Act (IDEA) requires the Secretary to provide annually at least $4,000,000 to address the postsecondary, vocational, technical, continuing, and adult education needs of individuals who are deaf or hard of hearing. [1] Aligned with this requirement, through this competition the Department intends to establish a National Technical Assistance Center for Postsecondary Education and Training for Individuals who are Deaf or Hard of Hearing. This competition uses funds from three Department programs: the Technical Assistance and Dissemination to Improve Services and Results for Children with Disabilities (TA&D) program; the Personnel Development to Improve Services and Results for Children with Disabilities (PD) program; and the Educational Technology, Media, and Materials for Individuals with Disabilities (ETechM2) program. Assistance Listing Number: 84.326D. [1] See IDEA Section 682(d)(1)(B). Applicants are required to follow the 2025 Common Instructions and Information for Applicants to Department of Education Discretionary Grant Programs , published in the Federal Register on August 29, 2025 (90 FR 42234) and available at ED 2025 Common Instructions ."
"Mathematical Sciences Infrastructure Program","U.S. National Science Foundation","","2026-08-04","2020-08-07","","","","Unrestricted (i.e., open to any type of entity above), subject to any clarification in text field entitled ""Additional Information on Eligibility""","100","PD-20-1260","http://www.nsf.gov/funding/pgm_summ.jsp?pims_id=12756","infrastructure; outcomes; evaluation; assessment; workforce; professional development; career; retention","The primary aim of the Mathematical Sciences Infrastructure Program is to foster the continuing health of the mathematical sciences research community as a whole. In addition,the program complements the Workforce Program in the Mathematical Sciences in its goal to increase the number of well-prepared U.S. based individuals who successfully pursue careers in the mathematical sciences and in other professions in which expertise in the mathematical sciences plays an increasingly important role. The DMS Infrastructure program invites projects that support core research in the mathematical sciences, including: 1) novel projects supporting research infrastructure across the mathematical sciences community; 2) training projects complementing the Workforce Program, and 3) conference, workshop, and travel support requests that include cross-disciplinary activities or have an impact at the national scale. Proposals under this solicitation submitted to DMS Infrastructure must show engagement in developing or enhancing the mathematical sciences research infrastructure in the U.S., including, but not limited to, broadening participation activities; professional development training; or involvement of students and early career researchers. Proposals must explain the regional or national scale impact of the activity that goes substantially beyond the submitting institution or the location of the event. Full proposals (with exception of conference proposals, which are subject to lead-time requirements) must be submitted close to one of the Full Proposal Target Dates. See below for more information about each category of Infrastructure projects. (1)Novel projects that serve to strengthen the research infrastructure: The DMS Infrastructure Program will consider novel projects that support and strengthen the research infrastructure across the mathematical sciences community. These projects most often cut across multiple sub-disciplines supported by DMS or involve interdisciplinary collaborations. The main goal of these projects should be to create a new research infrastructure or substantially enhance or transform an existing infrastructure with regional or national impact that goes substantially beyond the submitting institution or the location of the project. Full proposals must be submitted by the Full ProposalTarget Date. (2)Training projects: Training proposals submitted to DMS Infrastructure must not fit into one of the areas covered by solicitations in the Workforce Program in the Mathematical Sciences ; they must be submitted by the Full ProposalTarget Date; and they must: A. Include a core research component for trainees in mathematical sciences; B. Demonstrate promise for an impact at the regional or national scale that goes substantially beyond the submitting institution or the location of the project; C. Satisfy at least one of the following criteria: i. Serve as models to be replicated, ii. Promote partnerships with non-academic entities, minority-serving institutions, or community colleges, or iii. Include a substantial broadening participation initiative. In addition, all proposals of this type must clearly identify: Goals to be achieved; Specific new activities to be conducted, the way in which these address the goals, and the way in which the activities significantly differ from or enhance common practice; Measurable outcomes for the project; Plans and methods for assessment of progress toward the goals to be achieved, and for evaluation of the success of the activity; Recruitment, selection, and retention plans for participants, including members of underrepresented groups; Sustainability plans to continue the pursuit of the project's goals when funding terminates; and A budget commensurate with the proposed activity. 3) Conferences, Symposia, Working Research Sessions, Travel Support Requests: Principal Investigators should carefully read the program solicitation Conferences and Workshops in the Mathematical Sciences to obtain important information regarding the substance of proposals for conferences, workshops, summer/winter schools, international travel support, and similar activities.Conference/workshop proposals that concern topics within a particular subdiscipline of mathematics or statistics should be submitted to the appropriate DMS disciplinary program(s). These submissions are subject to the lead-time requirements specified by the disciplinary program(s); see the program web pages listed on the DMS home page . Conference/workshop proposals may be submitted to the DMS Infrastructure program only if the intended topical areas span a wide range of the mathematical sciences and are consequently not within the scope of DMS disciplinary programs. The required lead time for submission of such proposals is: 6 months in advance of the meeting date for proposals requesting no more than $50,000 to support a domestic meeting; 9 months in advance of the meeting date for proposals requesting more than $50,000 to support a domestic meeting; 12 months in advance of the meeting date for proposals requesting support for participation in a meeting taking place outside the United States."
"Science of Learning and Augmented Intelligence","U.S. National Science Foundation","","2026-08-05","2019-09-19","","","","Unrestricted (i.e., open to any type of entity above), subject to any clarification in text field entitled ""Additional Information on Eligibility""","100","PD-19-127Y","http://www.nsf.gov/funding/pgm_summ.jsp?pims_id=505731","artificial intelligence; machine learning; data; learning; workforce; transfer; science; technology","Science of Learning and Augmented Intelligence (SL) supports potentially transformative research that develops basic theoretical insights and fundamental knowledge about principles, processes and mechanisms of learning, and about augmented intelligence - how human cognitive function can be augmented through interactions with others or with technology, or through variations in context. The program supportsresearch addressing learning in individuals and in groups, across a wide range of domains at one or more levels of analysis, including molecular and cellular mechanisms; brain systems; cognitive, affective and behavioral processes; and social and cultural influences. The program also supports research on augmented intelligence that clearly articulates principled ways in which human approaches to learning and related processes, such as in design, complex decision-making and problem-solving, can be improved through interactions with others or through the use of artificial intelligence in technology. These could include ways of using knowledge about human functioning to improve the design of collaborative technologies that have the capacity to learn to adapt to humans. For both aspects of the program, there is special interest in collaborative and collective models of learning and intelligence that are supported by the unprecedented speed and scale of technological connectivity.This includes emphasis on how people and technology working together in new ways and at scale can achieve more than either can attain alone. The program also seeks explanations for how the emergent intelligence of groups, organizations and networks intersects with processes of learning, behavior and cognition in individuals. Projects that are convergent or interdisciplinary may be especially valuable in advancing basic understanding of these areas, but research within a single discipline or methodology is also appropriate.Connections between proposed research and specific technological, educational and workforce applications will be considered as valuable broader impacts but are not necessarily central to the intellectual merit of proposed research. The program supports a variety of approaches, including experiments, field studies, surveys, computational modeling, and artificial intelligence or machine learning methods. Examples of general research questions within scope of Science of Learning and Augmented Intelligence (SL)include: What are the underlying mechanisms that support transfer of learning from one context to another or from one domain to another?How is learning generalized from a small set of specific experiences?What is the basis for robust learning that is resilient against potential interference from new experiences?How is learning consolidated and reconsolidated from transient experience to stable memory? How do human interactions with technologies, imbued with artificial intelligence, provide improved human task performance?What models best describe the interplay of the individual and collaborative processes that lead to co-creation of knowledge and collective intelligence? In what ways do the capacities and constraints of human cognition inform improved methods of human-artificial intelligence collaboration? How can we integrate research findings and insights across levels of analysis, relating understanding of cellular and molecular mechanisms of learning in the neurons, to circuit and systems-level computations of learning in the brain, to cognitive, affective, social and behavioral processes of learning? What is the relationship between assembly of new networks (development) and learning new knowledge in a maturing or mature brain? What concepts, tools (including Big Data, machine learning, and other computational models) or questions will provide the most productive linkages across levels of analysis? How can insights from biological learners contribute and derive new theoretical perspectives to artificial intelligence, neuromorphic engineering, materials science and nanotechnology? How can the ability of biological systems to learn from relatively few examples improve efficiency of artificial systems?How do learning systems (biological and artificial) address complex issues of causal reasoning?How can knowledge about the ways in which humans learn help in the design of human-machine interfaces?"
"Centers of Research Excellence in Science and Technology - Research Infrastructure for Science and Engineering","U.S. National Science Foundation","","2026-08-07","2025-05-21","2000000","6000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","100","24-562","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf24562","artificial intelligence; data; infrastructure; stem; science; technology; engineering; mathematics","The Centers of Research Excellence in Science and Technology (CREST) program provides support to enhance the research capabilities of minority-serving institutions (MSIs) as defined in this solicitation's Eligibility section, through effective integration of education and research. The CREST program, composed of the CREST Centers, the CREST Postdoctoral Research Program, and the projects supported by this CREST-RISE solicitation, promotes the development of new knowledge, enhancements of the research productivity of individual faculty and postdoctoral scholars, and an expanded presence of research doctoral students in science, technology, engineering, and mathematics (STEM) disciplines, especially those from underrepresented groups. CREST-RISE is the component of the CREST program that supports the expansion of institutional research capacity by increasing the strength of institutional graduate programs and the successful production of research doctoral students, especially those from groups underrepresented in STEM. The CREST-RISE component supports STEM research doctoral programs in all NSF supported areas and encourages proposals in areas of national interest, such as artificial intelligence, data science and analytics; advanced materials, manufacturing, robotics; cybersecurity; plant genetics/agricultural technologies; quantum information sciences; nanotechnology, semiconductors/microelectronics technologies; climate change and clean energy. CREST-RISE projects must have a direct connection to the long-term plans of the host department(s) and the institution's strategic plan and mission. Project plans should emphasize activities designed to increase the production of research doctoral students, especially those underrepresented in STEM as well as expand institutional research capacity. The goals of CREST-RISE are to increase: 1) the number of STEM research doctoral programs at MSIs (as defined in the Eligibility section), 2) the number of STEM research doctoral students graduating from MSIs, especially those from groups underrepresented in STEM, and 3) institutional research capacity to increase doctoral students' graduation rates.To achieve these goals, the CREST-RISE program includes three tracks as follows: CREST-RISE STEM Doctoral Programs Support Initiative (CREST-RISE DPSI) CREST-RISE Research Advancement and Development (CREST-RISE RAD) CREST-RISE Equipment & Instrumentation (CREST-RISE E&I)"
"OSERS-OSEP: National Center on Academic Interventions Assistance Listing Number (ALN): 84.326Q","Holly Clark Management and Program Analyst","","2026-08-10","2026-06-15","3700000","3700000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","84","ED-GRANTS-061526-002","https://www.grants.gov/search-results-detail/362807","evidence; literacy; assessment; implementation; postsecondary; mathematics","Program Description: The purpose of the Technical Assistance and Dissemination to Improve Services and Results for Children with Disabilities program is to promote academic achievement and to improve results for children with disabilities by providing technical assistance (TA), supporting model demonstration projects, disseminating useful information, and implementing activities that are supported by scientifically based research. The 2024 National Assessment of Education Progress results illustrate the significant achievement gaps in reading and mathematics for students with disabilities. [1] Local educational agencies (LEAs) and schools need to continuously improve their systems and practices to address achievement gaps of students with disabilities and support educators’ implementation of evidence-based literacy and mathematics instruction that meet the individualized needs of students with disabilities so they are prepared for success in school and postsecondary opportunities. Through this competition and to address these needs, the Department intends to establish a National Center on Academic Interventions. [1] The National Assessment of Educational Progress (2024). https://www.nationsreportcard.gov/dashboards/achievement_gaps.aspx . ALN: 84.326Q Applicants are required to follow the 2025 Common Instructions and Information for Applicants to Department of Education Discretionary Grant Programs , published in the Federal Register on August 29, 2025 (90 FR 42234) and available at ED 2025 Common Instructions . Note: For new potential grantees unfamiliar with grantmaking at ED, please consult our “ Getting Started with Discretionary Grant Applications ” webpage ."
